Sample (Time) - CH1	Volts - CH1	Volts - CH2	Volts - CH3	Volts - CH4	Volts - CH5	Volts - CH6	Volts - CH7	Volts - CH8
210	0.000157499	0.000127935	0.000658703	-0.000310278	-9.45E-05	8.03E-05	-0.000126839	-5.82E-06
211	0.000137901	0.000117731	0.000647736	-0.000331259	-0.000112772	6.17E-05	-0.000144815	-1.87E-05
212	0.000130892	0.000121307	0.000653791	-0.000338411	-0.000118113	5.43E-05	-0.00015316	-2.66E-05
213	0.000164604	0.000136852	0.000669861	-0.000301218	-8.54E-05	8.87E-05	-0.000119448	-2.10E-06
214	0.000172949	0.000135517	0.000668812	-0.000292635	-7.93E-05	9.72E-05	-0.000111008	6.01E-06
215	0.000158405	0.00012722	0.00065937	-0.000309849	-9.50E-05	8.17E-05	-0.000125837	-4.82E-06
216	0.000139618	0.000117874	0.000647354	-0.000330734	-0.000112152	6.23E-05	-0.000143337	-1.77E-05
217	0.000131893	0.000121784	0.000652361	-0.000338221	-0.000118303	5.45E-05	-0.000151396	-2.68E-05
218	0.000164557	0.000137472	0.000670481	-0.00030036	-8.52E-05	8.93E-05	-0.000117922	-5.72E-07
219	0.000173855	0.000136375	0.000668573	-0.000292015	-7.86E-05	9.78E-05	-0.000109148	5.63E-06
220	0.000158691	0.000127888	0.000659752	-0.000310659	-9.52E-05	8.11E-05	-0.000123835	-3.81E-06
221	0.000140858	0.000118256	0.000649166	-0.000331211	-0.000111294	6.18E-05	-0.000143099	-1.68E-05
222	0.000131512	0.000121164	0.000653028	-0.000339222	-0.000118542	5.44E-05	-0.000153065	-2.75E-05
223	0.000164938	0.000136375	0.00067029	-0.000301695	-8.50E-05	8.86E-05	-0.00012002	-1.76E-06
224	0.000174522	0.000135946	0.000668573	-0.000292778	-7.88E-05	9.66E-05	-0.000109625	6.25E-06
225	0.000159216	0.000127459	0.000658798	-0.00031023	-9.53E-05	8.07E-05	-0.000124931	-7.39E-06
226	0.000141907	0.000118399	0.000648499	-0.000331497	-0.000112391	6.12E-05	-0.000142527	-1.89E-05
227	0.000131798	0.000121307	0.000653458	-0.000340652	-0.000119066	5.32E-05	-0.00015316	-2.75E-05
228	0.000164938	0.000136614	0.000670004	-0.000302982	-8.54E-05	8.91E-05	-0.000119495	-2.57E-06
229	0.000174093	0.000136328	0.000669098	-0.000291538	-7.86E-05	9.71E-05	-0.000109196	5.53E-06
230	0.000158501	0.000127983	0.000659513	-0.000309181	-9.45E-05	8.21E-05	-0.000123978	-4.48E-06
231	0.000140476	0.000117826	0.000647688	-0.000329542	-0.000111485	6.38E-05	-0.000141764	-1.70E-05
232	0.000130606	0.000120306	0.00065341	-0.000339365	-0.000119257	5.39E-05	-0.000151968	-2.62E-05
233	0.000163841	0.000136232	0.000669909	-0.000302887	-8.57E-05	8.67E-05	-0.000119686	-2.19E-06
234	0.000174904	0.000136089	0.000668907	-0.000292492	-7.68E-05	9.67E-05	-0.000110245	6.68E-06
235	0.000160503	0.000127697	0.00065937	-0.00030942	-9.43E-05	8.05E-05	-0.000124693	-3.86E-06
236	0.00014286	0.000117731	0.000647974	-0.00033083	-0.000111198	6.17E-05	-0.000141907	-1.75E-05
237	0.000130844	0.000120783	0.000652266	-0.0003407	-0.000119162	5.27E-05	-0.000152922	-2.78E-05
238	0.000165606	0.000136375	0.000671053	-0.00030241	-8.53E-05	8.85E-05	-0.000119543	-1.29E-06
239	0.000174713	0.0001369	0.000670815	-0.000292349	-7.90E-05	9.65E-05	-0.000109863	5.77E-06
240	0.000159311	0.000128317	0.000661421	-0.000310183	-9.52E-05	8.04E-05	-0.00012536	-4.15E-06
241	0.000141668	0.00011878	0.000649118	-0.000330591	-0.000111008	6.22E-05	-0.000142765	-1.54E-05
242	0.000130939	0.000121403	0.000653887	-0.000340652	-0.000120115	5.25E-05	-0.000153351	-2.68E-05
243	0.000164938	0.00013628	0.000671291	-0.000302505	-8.70E-05	8.71E-05	-0.000119495	-2.48E-06
244	0.000175142	0.000135946	0.000669289	-0.000292253	-7.78E-05	9.61E-05	-0.000108957	6.77E-06
245	0.000159216	0.000128651	0.000659704	-0.000308466	-9.32E-05	7.98E-05	-0.000124216	-4.72E-06
246	0.000142097	0.000118876	0.000648546	-0.000329065	-0.000110054	6.25E-05	-0.000141716	-1.54E-05
247	0.000129747	0.000120211	0.000652313	-0.00034132	-0.000120163	5.23E-05	-0.000154305	-2.63E-05
